Date, Close/Last, Volume, Open, High, Low
2020-12-24, 148.79,2120165, 147.8, 148.9, 147.2
2020-12-28, 147.74,4576625, 150.62, 151.07, 147.44
2020-12-29, 148.49,3543794, 148.97, 148.99, 147.03
2020-12-30, 149.95,3965615, 149.12, 151.61, 148.9227
2020-12-31, 152.34,4941702, 150.322, 152.56, 150.1
2021-01-04, 148.5,9826976, 153.01, 155.15, 147.1388
2021-01-05, 152.43,8507227, 148.65, 152.7, 148.5
2021-01-06, 151.19,7174615, 151.53, 153.87, 149.47
2021-01-07, 155.7,8482308, 152.33, 156.42, 152.26
2021-01-08, 156.64,6252391, 157.23, 157.53, 154.54
